file,title,page_url,download_url,mime,licence,credit
aiga_coatcheck.png,File:Aiga coatcheck.svg,https://commons.wikimedia.org/wiki/File:Aiga_coatcheck.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/Aiga_coatcheck.svg/960px-Aiga_coatcheck.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,File:Aiga_coatcheck.png
aiga_coffeeshop.png,File:Aiga coffeeshop.svg,https://commons.wikimedia.org/wiki/File:Aiga_coffeeshop.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/77/Aiga_coffeeshop.svg/960px-Aiga_coffeeshop.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,openclipart
aiga_currencyexchange.png,File:Aiga currencyexchange.svg,https://commons.wikimedia.org/wiki/File:Aiga_currencyexchange.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3e/Aiga_currencyexchange.svg/960px-Aiga_currencyexchange.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,CC0,http://www.aiga.org/symbol-signs/
aiga_customs.png,File:Aiga customs.svg,https://commons.wikimedia.org/wiki/File:Aiga_customs.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Aiga_customs.svg/960px-Aiga_customs.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Own work using: http://www.aiga.org/content.cfm/symbolsigns
aiga_departingflights.png,File:Aiga departingflights.svg,https://commons.wikimedia.org/wiki/File:Aiga_departingflights.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Aiga_departingflights.svg/960px-Aiga_departingflights.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,Own work
aiga_drinkingfountain.png,File:Aiga drinkingfountain.svg,https://commons.wikimedia.org/wiki/File:Aiga_drinkingfountain.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/Aiga_drinkingfountain.svg/960px-Aiga_drinkingfountain.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_elevator.png,File:Aiga elevator.svg,https://commons.wikimedia.org/wiki/File:Aiga_elevator.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b3/Aiga_elevator.svg/960px-Aiga_elevator.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,"This image is from a collection commissioned by the United States Department of Transportation and designed by AIGA. It is copyright-free, and is available here."
aiga_escalator_down_mirror.png,File:Aiga escalator down mirror.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator_down_mirror.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/ec/Aiga_escalator_down_mirror.svg/960px-Aiga_escalator_down_mirror.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_escalator_down.png,File:Aiga escalator down.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator_down.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/18/Aiga_escalator_down.svg/960px-Aiga_escalator_down.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_escalator_mirror.png,File:Aiga escalator mirror.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator_mirror.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/Aiga_escalator_mirror.svg/960px-Aiga_escalator_mirror.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_escalator_up_mirror.png,File:Aiga escalator up mirror.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator_up_mirror.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e0/Aiga_escalator_up_mirror.svg/960px-Aiga_escalator_up_mirror.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_escalator_up.png,File:Aiga escalator up.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator_up.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/59/Aiga_escalator_up.svg/960px-Aiga_escalator_up.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,
aiga_escalator.png,File:Aiga escalator.svg,https://commons.wikimedia.org/wiki/File:Aiga_escalator.svg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/32/Aiga_escalator.svg/960px-Aiga_escalator.svg.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,image/svg+xml,Public domain,"This image is from a collection commissioned by the United States Department of Transportation and designed by AIGA. It is copyright-free, and is available here."
